current_1,current_2,current_3
2040.0,2361.0,38.0
2035.395336367052,2369.395336367052,56.39533636705194
2039.7733263495013,2378.773326349501,61.773326349501296
2038.1166920210007,2385.1166920210007,67.11669202100072
2117.1898363191417,2347.1950675655407,71.40829210153984
2038.6311896062464,2401.631189606246,76.63118960624632
2038.7687186879275,2410.7687186879275,80.76871868792746
2038.804550409555,2413.804550409556,88.80455040955509
2042.72275718712,2422.72275718712,93.72275718712008
2040.5078756485293,2409.50787564853,103.50787564852976
2039.1449676604727,2423.144967660473,111.14496766047311
2039.619679282408,2435.6196792824085,120.61967928240828
2039.9182974150085,2436.918297415008,128.91829741500823
2041.0278039194989,2446.027803919498,137.0278039194988
2069.1135933630817,2488.592271155281,143.93592699430525
2038.6311896062464,2448.631189606246,135.8576875768307
2037.102954785141,2455.1029547851413,159.1029547851411
2033.3414676030704,2454.3414676030707,162.34146760307044
2024.3378936726208,2460.337893672621,173.33789367262136
2030.0843540121773,2462.0843540121778,180.08435401217758
2026.5739561406608,2467.573956140661,498.5739561406608
1822.800821279004,2462.800821279004,505.80082127900414
1827.760107551008,2461.7601075510083,514.7601075510082
1828.4480290920133,2460.4480290920133,522.4480290920135
1825.861870989979,2415.3081712949124,529.861870989979
1776.7414973655357,2454.0,537.0
1825.861870989979,2449.861870989979,521.2165737955494
1823.4480290920133,2443.4480290920133,554.4480290920135
1822.760107551008,2436.7601075510083,563.7601075510082
1823.800821279004,2427.800821279004,573.8008212790041
1824.5739561406608,2517.246369852621,583.5739561406607
1820.0843540121773,2410.0843540121778,593.0843540121776
1821.3378936726208,2062.337893672621,892.3378936726214
1996.3414676030704,2048.3414676030707,894.3414676030704
1999.102954785141,2042.102954785141,888.102954785141
1998.6311896062464,2033.6311896062464,888.6311896062464
2004.9359269943047,2023.9359269943047,883.9359269943052
2004.0278039194989,2018.0278039194989,875.0278039194988
2006.9182974150085,2009.9182974150085,875.9182974150082
2023.8912798171016,2016.619679282408,869.6196792824082
2009.1449676604727,2001.1449676604727,864.1449676604732
2011.5078756485293,1995.5078756485293,854.5078756485298
2014.72275718712,1989.72275718712,845.7227571871201
2008.804550409555,1986.804550409555,835.8045504095551
2011.7687186879275,1982.7687186879275,825.7687186879274
2012.6311896062464,1979.6311896062464,816.6311896062463
2007.40829210154,1972.40829210154,807.4082921015398
2007.1166920210007,1967.1166920210007,885.539331216512
2005.7733263495013,2006.7860257548748,787.7733263495013
2009.395336367052,1956.395336367052,782.3953363670519
2011.0,1948.0,770.0
2008.604663632948,1944.604663632948,760.604663632948
2008.2266736504987,1926.1943652738976,745.2266736504987
2016.674270207474,1932.883307979,737.8833079789993
2009.59170789846,1929.59170789846,725.5917078984602
2013.3688103937536,1923.3688103937536,715.3688103937536
2018.2312813120725,1922.2312813120725,696.2312813120725
2097.9057026516803,1916.195449590445,625.4443346235079
2017.27724281288,1911.27724281288,660.2772428128799
2029.4921243514705,1905.4921243514705,651.4921243514702
2045.5001861302003,1901.8550323395268,638.8550323395268
2035.380320717592,1897.380320717592,626.3803207175918
2040.081702584992,1891.081702584992,617.0817025849918
-51.02780391949881,1889.972196080501,603.9721960805011
2051.064073005695,1881.0640730056948,595.0640730056947
2054.368810393754,1873.3688103937536,584.3688103937537
2062.8970452148587,1959.7723458389328,568.897045214859
2064.6585323969293,1806.4143114944293,626.8827874929623
2071.6621063273788,1863.6621063273783,537.6621063273786
2084.9156459878222,1858.9156459878225,524.9156459878224
2044.95100879816,1857.4260438593392,513.4260438593393
2096.199178720996,1853.199178720996,505.1991787209958
2147.993749311647,1853.239892448992,490.2398924489918
2108.5519709079867,1849.5519709079863,482.5519709079865
2115.138129010021,1851.138129010021,546.1976033530119
2120.0,1845.0,469.0
2128.138129010021,1849.138129010021,466.138129010021
2188.485486350472,1889.0117845722352,461.5519709079865
2130.239892448992,1851.239892448992,455.2398924489918
2137.199178720996,1809.3059738703555,449.1991787209959
2137.426043859339,1850.4260438593392,446.4260438593393
2146.9156459878222,1851.9156459878225,441.9156459878224
2148.6621063273788,1852.6621063273783,440.6621063273786
2156.65853239693,1857.6585323969296,436.6585323969296
2200.2949871995424,1861.897045214859,435.89704521485896
2159.368810393754,1849.121204914412,431.3688103937537
2175.128064544638,1918.7128805324232,430.0640730056948
2168.9721960805014,1879.972196080501,425.9721960805012
2083.564055592627,1884.081702584992,427.08170258499183
2170.3803207175915,1893.380320717592,420.3803207175917
2175.855032339527,1899.8550323395268,418.8550323395269
2167.383512565325,1906.4921243514705,417.49212435147024
2179.27724281288,1914.27724281288,413.27724281287993
2186.195449590445,1936.195449590445,410.1954495904449
2189.2312813120725,1929.2312813120725,409.23128131207255
2195.368810393754,1941.3688103937536,405.3688103937537
2203.5917078984603,1949.5917078984603,473.5759476717059
2207.883307979,1953.883307979,398.88330797899926
2210.226673650499,1959.2266736504987,393.2266736504988
2213.604663632948,1968.604663632948,387.6046636329481
2223.0,2043.0313473812976,382.00000000000006
2226.395336367052,2000.088604854783,374.395336367052
2223.773326349501,2005.7733263495013,368.7733263495013
2231.1166920210007,2040.7626769667115,360.11669202100074
2237.40829210154,1991.249607446796,355.4082921015398
2178.631189606246,2244.631189606246,-7.053518857679087
2171.7687186879275,2264.7687186879275,118.76871868792747
2166.804550409556,2275.804550409556,121.80455040955508
2163.72275718712,2287.72275718712,122.7227571871201
2158.50787564853,2303.50787564853,120.50787564852976
2150.144967660473,2316.144967660473,124.14496766047316
2149.6196792824085,2330.6196792824085,116.6196792824083
2145.918297415008,2341.918297415008,117.91829741500824
2145.027803919498,2369.6467169131824,120.02780391949884
2135.935926994305,2373.935926994305,117.93592699430523
